label	description	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	Organism
x0so0057	seq.10041.3	Hepatocyte nuclear factor 4-alpha	HNF4A	P41235	3172	HNF4A	Human
x0so0058	seq.10042.8	Serine/threonine-protein kinase Sgk3	SGK3	Q96BR1	100533105	SGK3	Human
x0so0059	seq.10043.31	Bromodomain-containing protein 4	BRD4	O60885	23476	BRD4	Human
x0so0060	seq.10044.12	Protein Wnt-10a	WN10A	Q9GZT5	80326	WNT10A	Human
x0so0061	seq.10045.47	Cullin-3	CUL3	Q13618	8452	CUL3	Human
x0so0062	seq.10046.55	Baculoviral IAP repeat-containing protein 2	cIAP-1	Q13490	329	BIRC2	Human
x0so0063	seq.10047.12	Neutrophil cytosol factor 2	NCF-2	P19878	4688	NCF2	Human
x0so0064	seq.10048.7	Core-binding factor subunit beta	PEBB	Q13951	865	CBFB	Human
x0so0065	seq.10049.112	Telomeric repeat-binding factor 1	TERF1	P54274	7013	TERF1	Human
x0so0066	seq.10053.5	Integrin-linked protein kinase	ILK1	Q13418	3611	ILK	Human
x0so0067	seq.10054.3	Gigaxonin	GAN	Q9H2C0	8139	GAN	Human
x0so0068	seq.10056.5	Forkhead box protein M1	FOXM1	Q08050	2305	FOXM1	Human
x0so0069	seq.10058.1	UV excision repair protein RAD23 homolog A	RD23A	P54725	5886	RAD23A	Human
x0so0070	seq.10063.10	E3 ubiquitin-protein ligase FANCL	FANCL	Q9NW38	55120	FANCL	Human
x0so0071	seq.10064.12	Putative hydrolase RBBP9	RBBP9	O75884	10741	RBBP9	Human
x0so0072	seq.10069.2	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	PIN1	Q13526	5300	PIN1	Human
x0so0073	seq.10070.22	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	PLCG2	P16885	5336	PLCG2	Human
x0so0074	seq.10073.22	Tyrosyl-DNA phosphodiesterase 1	TYDP1	Q9NUW8	55775	TDP1	Human
x0so0075	seq.10074.128	Bromodomain-containing protein 2	BRD2	P25440	6046	BRD2	Human
x0so0076	seq.10075.75	Acyl-CoA-binding domain-containing protein 6	ACBD6	Q9BR61	84320	ACBD6	Human
x0so0077	seq.10076.1	AP-4 complex subunit mu-1	AP4M1	O00189	9179	AP4M1	Human
x0so0078	seq.10078.5	BAG family molecular chaperone regulator 3	BAG3	O95817	9531	BAG3	Human
x0so0079	seq.10080.9	Translation initiation factor eIF-2B subunit alpha	EI2BA	Q14232	1967	EIF2B1	Human
x0so0080	seq.10081.17	DNA-binding protein SATB2	SATB2	Q9UPW6	23314	SATB2	Human
x0so0081	seq.10082.251	Neurofilament light polypeptide	NFL	P07196	4747	NEFL	Human
x0so0082	seq.10085.25	Steroidogenic acute regulatory protein, mitochondrial	STAR	P49675	6770	STAR	Human
x0so0083	seq.10086.39	Cystathionine beta-synthase	CBS	P35520	102724560	CBS	Human
x0so0084	seq.10087.10	Alpha-crystallin A chain	Alpha crystallin A chain	P02489	102724652	CRYAA	Human
x0so0085	seq.10088.37	Adenine phosphoribosyltransferase	APT	P07741	353	APRT	Human
x0so0086	seq.10089.7	N-acetylserotonin O-methyltransferase-like protein	ASML	O95671	8623	ASMTL	Human
x0so0087	seq.10336.3	E3 ubiquitin-protein ligase CHIP	CHIP	Q9UNE7	10273	STUB1	Human
x0so0088	seq.10339.48	Gamma-enolase	NSE	P09104	2026	ENO2	Human
x0so0089	seq.10342.55	E3 SUMO-protein ligase PIAS4	PIAS4	Q8N2W9	51588	PIAS4	Human
x0so0090	seq.10344.334	Interleukin-10 receptor subunit alpha	IL-10 Ra	Q13651	3587	IL10RA	Human
x0so0091	seq.10346.5	Signal transducer and activator of transcription 3	STAT3	P40763	6774	STAT3	Human
x0so0092	seq.10351.51	Interferon regulatory factor 1	IRF1	P10914	3659	IRF1	Human
x0so0093	seq.10354.57	Signal transducer and activator of transcription 3	STAT3	P40763	6774	STAT3	Human
x0so0094	seq.10356.21	Transcription factor AP-1	c-Jun	P05412	3725	JUN	Human
x0so0095	seq.10361.25	2'-5'-oligoadenylate synthase 1	OAS1	P00973	4938	OAS1	Human
x0so0096	seq.10362.35	Myc proto-oncogene protein	c-Myc	P01106	4609	MYC	Human
x0so0097	seq.10363.13	Mothers against decapentaplegic homolog 3	SMAD3	P84022	4088	SMAD3	Human
x0so0098	seq.10364.6	Mothers against decapentaplegic homolog 2	SMAD2	Q15796	4087	SMAD2	Human
x0so0099	seq.10365.132	Interleukin-23	IL-23	P29460|Q9NPF7	3593|51561	IL12B|IL23A	Human
x0so0100	seq.10366.11	Platelet-derived growth factor receptor alpha	PDGFRA	P16234	5156	PDGFRA	Human
x0so0101	seq.10367.62	Interleukin-12	IL-12	P29459|P29460	3592|3593	IL12A|IL12B	Human
x0so0102	seq.10370.21	Signal transducer and activator of transcription 1-alpha/beta	STAT1	P42224	6772	STAT1	Human
x0so0103	seq.10372.18	Signal transducer and activator of transcription 6	STAT6	P42226	6778	STAT6	Human
x0so0105	seq.10382.1	Angiopoietin-related protein 3	ANGL3	Q9Y5C1	27329	ANGPTL3	Human
x0so0106	seq.10390.21	E3 ubiquitin-protein ligase ZNRF3	ZNRF3	Q9ULT6	84133	ZNRF3	Human
x0so0107	seq.10391.1	Angiopoietin-related protein 3	ANGL3	Q9Y5C1	27329	ANGPTL3	Human
x0so0108	seq.10396.6	Induced myeloid leukemia cell differentiation protein Mcl-1	Mcl-1	Q07820	4170	MCL1	Human
x0so0109	seq.10398.110	Ankyrin repeat domain-containing protein 1	ANKR1	Q15327	27063	ANKRD1	Human
x0so0111	seq.10418.36	Syntaxin-12	STX12	Q86Y82	23673	STX12	Human
x0so0112	seq.10419.1	Scavenger receptor class A member 5	SCAR5	Q6ZMJ2	286133	SCARA5	Human
x0so0113	seq.10420.30	Fas apoptotic inhibitory molecule 1	FAIM1	Q9NVQ4	55179	FAIM	Human
x0so0114	seq.10424.31	Neural proliferation differentiation and control protein 1	NPDC1	Q9NQX5	56654	NPDC1	Human
x0so0115	seq.10425.3	Beta-1,4-galactosyltransferase 5	B4GT5	O43286	9334	B4GALT5	Human
x0so0116	seq.10426.21	Golgi SNAP receptor complex member 2	GOSR2	O14653	9570	GOSR2	Human
x0so0118	seq.10428.1	Killer cell immunoglobulin-like receptor 2DS2	KI2S2	P43631	100132285	KIR2DS2	Human
x0so0119	seq.10430.31	4F2 cell-surface antigen heavy chain:Cytoplasmic domain	4F2:CD	P08195	6520	SLC3A2	Human
x0so0120	seq.10432.3	Uncharacterized protein KIAA1644	K1644	Q3SXP7	85352	SHISAL1	Human
x0so0121	seq.10435.2	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	ASPG	P20933	175	AGA	Human
x0so0122	seq.10438.19	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2R	P15509	1438	CSF2RA	Human
x0so0123	seq.10439.57	Alpha-amylase 2B	Alpha-amylase 2B	P19961	280	AMY2B	Human
x0so0124	seq.10440.26	CXADR-like membrane protein:Extracellular domain	ACAM:ECD	Q9H6B4	79827	CLMP	Human
x0so0125	seq.10442.1	Transmembrane protein 190	TM190	Q8WZ59	147744	TMEM190	Human
x0so0126	seq.10445.20	Apolipoprotein M	ApoM	O95445	55937	APOM	Human
x0so0127	seq.10447.18	Polyadenylate-binding protein 3	PABP3	Q9H361	5042	PABPC3	Human
x0so0128	seq.10449.31	Protein shisa-2 homolog	TMM46	Q6UWI4	387914	SHISA2	Human
x0so0129	seq.10451.11	Nucleobindin-1	NUCB1	Q02818	4924	NUCB1	Human
x0so0131	seq.10453.7	Carcinoembryonic antigen-related cell adhesion molecule 20	CEA20	Q6UY09	125931	CEACAM20	Human
x0so0132	seq.10454.99	DnaJ homolog subfamily C member 16	DJC16	Q9Y2G8	23341	DNAJC16	Human
x0so0133	seq.10455.196	Interleukin-31	IL-31	Q6EBC2	386653	IL31	Human
x0so0134	seq.10457.3	Interleukin-18 receptor accessory protein	IL-18 Rb	O95256	8807	IL18RAP	Human
x0so0135	seq.10460.1	Chitotriosidase-1	Chitotriosidase-1	Q13231	1118	CHIT1	Human
x0so0137	seq.10462.14	Insulin-like peptide INSL5	INSL5	Q9Y5Q6	10022	INSL5	Human
x0so0138	seq.10463.23	Intestinal-type alkaline phosphatase	Alkaline phosphatase, intestine	P09923	248	ALPI	Human
x0so0139	seq.10464.6	Anthrax toxin receptor 1	ANTR1	Q9H6X2	84168	ANTXR1	Human
x0so0141	seq.10470.34	Thioredoxin domain-containing protein 11:C-term	TXD11:N-term	Q6PKC3	51061	TXNDC11	Human
x0so0143	seq.10472.53	Tumor necrosis factor receptor superfamily member 14	HVEM	Q92956	8764	TNFRSF14	Human
x0so0144	seq.10473.2	Trefoil factor 2	Trefoil factor 2	Q03403	7032	TFF2	Human
x0so0147	seq.10479.18	Stromelysin-2	MMP-10	P09238	4319	MMP10	Human
x0so0148	seq.10480.33	CD59 glycoprotein	CD59	P13987	966	CD59	Human
x0so0149	seq.10485.56	Melanoma-associated antigen 4	MAGE-4	P43358	4103	MAGEA4	Human
x0so0151	seq.10490.3	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain	RPN1:CD	P04843	6184	RPN1	Human
x0so0155	seq.10496.11	Calcium-activated chloride channel regulator 1	CaCC	A8K7I4	1179	CLCA1	Human
x0so0157	seq.10499.1	Transmembrane protein 106A	T106A	Q96A25	113277	TMEM106A	Human
x0so0162	seq.10505.12	E3 ubiquitin-protein ligase RNF43	RNF43	Q68DV7	54894	RNF43	Human
x0so0163	seq.10506.53	Membrane-associated progesterone receptor component 2	PGRC2	O15173	10424	PGRMC2	Human
x0so0164	seq.10507.166	Acrosomal protein SP-10	sperm protein 10	P26436	56	ACRV1	Human
x0so0165	seq.10510.62	SLP adapter and CSK-interacting membrane protein	SCIMP	Q6UWF3	388325	SCIMP	Human
x0so0166	seq.10511.10	Collagen alpha-3(VI) chain:isoform 3	Collagen alpha-3(VI):isoform 3	P12111	1293	COL6A3	Human
x0so0167	seq.10512.13	Cytokine receptor common subunit beta:Extracellular domain	IL3RB:ECD	P32927	1439	CSF2RB	Human
x0so0168	seq.10513.13	Calsenilin	CSEN	Q9Y2W7	30818	KCNIP3	Human
x0so0169	seq.10514.5	Prostaglandin-H2 D-isomerase	PGD2 synthase	P41222	5730	PTGDS	Human
x0so0172	seq.10521.10	Matrix-remodeling-associated protein 8:Extracellular domain	MXRA8:ECD	Q9BRK3	54587	MXRA8	Human
x0so0174	seq.10527.22	ATP-dependent RNA helicase A	DHX9	Q08211	1660	DHX9	Human
x0so0175	seq.10528.2	Dipeptidase 1	DPEP1	P16444	1800	DPEP1	Human
x0so0177	seq.10530.8	Proteasome subunit beta type-6	PSB6	P28072	5694	PSMB6	Human
x0so0178	seq.10531.18	GTPase NRas	RASN	P01111	4893	NRAS	Human
x0so0180	seq.10534.40	Poly [ADP-ribose] polymerase 1:BRCA1 C-terminal:BRCA1 C-terminus domian	PARP:BRCT domain	P09874	142	PARP1	Human
x0so0181	seq.10535.25	Cytochrome c oxidase subunit 6A2, mitochondrial	CX6A2	Q02221	1339	COX6A2	Human
x0so0182	seq.10539.30	CD99 antigen-like protein 2	C99L2	Q8TCZ2	83692	CD99L2	Human
x0so0183	seq.10546.2	Thrombospondin-type laminin G domain and EAR repeat-containing protein	TSEAR	Q8WU66	54084	TSPEAR	Human
x0so0186	seq.10550.37	Bone morphogenetic protein receptor type-1B	BMP RIB	O00238	658	BMPR1B	Human
x0so0187	seq.10551.7	Linker for activation of T-cells family member 1	LAT	O43561	27040	LAT	Human
x0so0188	seq.10552.88	NKG2-F type II integral membrane protein	NKG2F	O43908	8302	KLRC4	Human
x0so0189	seq.10553.8	Torsin-1A-interacting protein 2	TOIP2	Q8NFQ8	163590	TOR1AIP2	Human
x0so0190	seq.10554.23	Beta-galactosidase	BGAL	P16278	2720	GLB1	Human
x0so0191	seq.10557.6	Testis-expressed sequence 29 protein	TEX29	Q8N6K0	121793	TEX29	Human
x0so0192	seq.10558.26	Protocadherin-9	PCDH9	Q9HC56	5101	PCDH9	Human
x0so0193	seq.10560.1	Integral membrane protein 2C:N-term	ITM2C:N-term	Q9NQX7	81618	ITM2C	Human
x0so0194	seq.10561.5	Peptidoglycan recognition protein 3	PGRP-I-alpha	Q96LB9	114771	PGLYRP3	Human
x0so0195	seq.10562.42	Neuropilin and tolloid-like protein 2	NETO2	Q8NC67	81831	NETO2	Human
x0so0196	seq.10563.13	LysM and putative peptidoglycan-binding domain-containing protein 3	LYSM3	Q7Z3D4	116068	LYSMD3	Human
x0so0197	seq.10565.19	SLIT and NTRK-like protein 3	SLIK3	O94933	22865	SLITRK3	Human
x0so0198	seq.10569.28	Microfibrillar-associated protein 2	MFAP2	P55001	4237	MFAP2	Human
x0so0199	seq.10571.14	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT1	P26572	4245	MGAT1	Human
x0so0200	seq.10572.65	Cystatin-8	CST8	O60676	10047	CST8	Human
x0so0201	seq.10574.10	Beta-2-microglobulin	b2-Microglobulin	P61769	567	B2M	Human
x0so0202	seq.10575.31	Poly(U)-binding-splicing factor PUF60	PUF60	Q9UHX1	22827	PUF60	Human
x0so0203	seq.10576.7	Plexin domain-containing protein 2:Extracellular domain	PXDC2:ECD	Q6UX71	84898	PLXDC2	Human
x0so0204	seq.10580.14	Surfactant-associated protein 2	SFTA2	Q6UW10	389376	SFTA2	Human
x0so0205	seq.10582.36	Protein O-mannose kinase	SG196	Q9H5K3	84197	POMK	Human
x0so0206	seq.10583.1	Transmembrane protein 108	TM108	Q6UXF1	66000	TMEM108	Human
x0so0207	seq.10584.7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	NDUS4	O43181	4724	NDUFS4	Human
x0so0208	seq.10588.39	Lactosylceramide alpha-2,3-sialyltransferase	SIAT9	Q9UNP4	8869	ST3GAL5	Human
x0so0209	seq.10589.7	Retinoic acid early transcript 1L protein	RET1L	Q5VY80	154064	RAET1L	Human
x0so0211	seq.10600.24	Calmegin	CLGN	O14967	1047	CLGN	Human
x0so0212	seq.10603.1	Histatin-3	HIS3	P15516	3347	HTN3	Human
x0so0213	seq.10605.22	Adipocyte plasma membrane-associated protein	APMAP	Q9HDC9	57136	APMAP	Human
x0so0214	seq.10606.34	Torsin-1A-interacting protein 1:Perinuclear domain	TOIP1:Perinuclear	Q5JTV8	26092	TOR1AIP1	Human
x0so0216	seq.10608.9	Histatin-1	HIS1	P15515	3346	HTN1	Human
x0so0218	seq.10612.18	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	PLOD3	O60568	8985	PLOD3	Human
x0so0219	seq.10613.33	Protein CASC4	CASC4	Q6P4E1	113201	GOLM2	Human
x0so0220	seq.10615.18	Myelin protein P0	MYP0	P25189	4359	MPZ	Human
x0so0221	seq.10616.67	Podocalyxin-like protein 2	PDXL2	Q9NZ53	50512	PODXL2	Human
x0so0222	seq.10618.190	Low-density lipoprotein receptor-related protein 2	megalin	P98164	4036	LRP2	Human
x0so0223	seq.10620.21	Beta-microseminoprotein	PSP-94	P08118	4477	MSMB	Human
x0so0224	seq.10621.26	Protein Largen	PRR16	Q569H4	51334	PRR16	Human
x0so0226	seq.10623.19	Mucin-1:region 1	MUC1:region 1	P15941	4582	MUC1	Human
x0so0227	seq.10624.45	Serine protease inhibitor Kazal-type 13	ISK13	Q1W4C9	153218	SPINK13	Human
x0so0228	seq.10626.116	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	SIA7C	Q8NDV1	256435	ST6GALNAC3	Human
x0so0229	seq.10627.87	Amyloid-like protein 2	APLP2	Q06481	334	APLP2	Human
x0so0230	seq.10630.5	Oxidoreductase HTATIP2	HTAI2	Q9BUP3	10553	HTATIP2	Human
x0so0231	seq.10631.9	Membrane-associated progesterone receptor component 2	PGRC2	O15173	10424	PGRMC2	Human
x0so0232	seq.10636.1	Cell surface glycoprotein CD200 receptor 1:Isoform 4, Cytoplasmic Domain	MO2R1:CD	Q8TD46	131450	CD200R1	Human
x0so0233	seq.10637.50	UPF0577 protein KIAA1324:Extracellular domain	K1324:ECD	Q6UXG2	57535	ELAPOR1	Human
x0so0234	seq.10638.1	TERF1-interacting nuclear factor 2	TINF2	Q9BSI4	26277	TINF2	Human
x0so0237	seq.10643.16	Noelin-3:Isoform 2, C-term	NOE3:C-term	Q96PB7	118427	OLFM3	Human
x0so0239	seq.10647.18	Activating signal cointegrator 1 complex subunit 1	ASCC1	Q8N9N2	51008	ASCC1	Human
x0so0245	seq.10663.42	Insulin-induced gene 1 protein	INSI1	O15503	3638	INSIG1	Human
x0so0247	seq.10666.7	N-acetylglucosamine-1-phosphotransferase subunit gamma	GNPTG	Q9UJJ9	84572	GNPTG	Human
x0so0248	seq.10667.78	Uncharacterized protein C1orf185	CA185	Q5T7R7	284546	C1orf185	Human
x0so0249	seq.10668.5	Syntaxin-4	STX4	Q12846	6810	STX4	Human
x0so0250	seq.10670.26	Semaphorin-3E	Semaphorin 3E	O15041	9723	SEMA3E	Human
x0so0252	seq.10672.75	Pulmonary surfactant-associated protein B	SP-B	P07988	6439	SFTPB	Human
x0so0253	seq.10675.223	Thioredoxin-related transmembrane protein 2	TMX2	Q9Y320	51075	TMX2	Human
x0so0254	seq.10677.9	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	NDUB4	O95168	4710	NDUFB4	Human
x0so0256	seq.10693.43	Killer cell lectin-like receptor subfamily G member 2:C-term	KLRG2:C-term	A4D1S0	346689	KLRG2	Human
x0so0257	seq.10695.12	Protein WFDC10B	WF10B	Q8IUB3	280664	WFDC10B	Human
x0so0258	seq.10699.52	Prolow-density lipoprotein receptor-related protein 1	LRP1	Q07954	4035	LRP1	Human
x0so0259	seq.10700.10	Immunoglobulin superfamily member 11:Cytoplasmic domain	IGS11:CD	Q5DX21	152404	IGSF11	Human
x0so0261	seq.10702.1	Collagen alpha-1(XXVIII) chain	COSA1	Q2UY09	340267	COL28A1	Human
x0so0262	seq.10703.203	Sin3 histone deacetylase corepressor complex component SDS3	SDS3	Q9H7L9	64426	SUDS3	Human
x0so0263	seq.10704.91	Lymphoid-restricted membrane protein	LRMP	Q12912	4033	IRAG2	Human
x0so0264	seq.10705.14	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	SIA7C	Q8NDV1	256435	ST6GALNAC3	Human
x0so0265	seq.10708.3	Progonadoliberin-2	GON2	O43555	2797	GNRH2	Human
x0so0266	seq.10710.23	Zona pellucida-binding protein 2	ZPBP2	Q6X784	124626	ZPBP2	Human
x0so0267	seq.10713.151	CMRF35-like molecule 7	CLM7	A8K4G0	124599	CD300LB	Human
x0so0268	seq.10714.7	Angiotensin-converting enzyme	ACE	P12821	1636	ACE	Human
x0so0270	seq.10716.35	26S proteasome non-ATPase regulatory subunit 5	PSMD5	Q16401	5711	PSMD5	Human
x0so0271	seq.10721.76	Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	3303	HSPA1A	Human
x0so0272	seq.10722.13	Tyrosine-protein kinase SYK:Protein kinase domain	KSYK:Protein Kinase	P43405	6850	SYK	Human
x0so0275	seq.10731.10	Heparan sulfate glucosamine 3-O-sulfotransferase 5	HS3S5	Q8IZT8	222537	HS3ST5	Human
x0so0276	seq.10734.339	Galactose-3-O-sulfotransferase 2	G3ST2	Q9H3Q3	64090	GAL3ST2	Human
x0so0277	seq.10737.96	Leukocyte elastase inhibitor	Serpin B1	P30740	1992	SERPINB1	Human
x0so0278	seq.10738.11	Fibulin-5	fibulin 5	Q9UBX5	10516	FBLN5	Human
x0so0279	seq.10741.22	Macrophage colony-stimulating factor 1	CSF-1	P09603	1435	CSF1	Human
x0so0280	seq.10743.13	SLIT and NTRK-like protein 1	SLIK1	Q96PX8	114798	SLITRK1	Human
x0so0281	seq.10746.24	Dickkopf-related protein 3	DKK3	Q9UBP4	27122	DKK3	Human
x0so0282	seq.10748.216	Protocadherin beta-2	PCDB2	Q9Y5E7	56133	PCDHB2	Human
x0so0283	seq.10749.18	Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	3303	HSPA1A	Human
x0so0284	seq.10752.8	Chromodomain Y-like protein 2	CDYL2	Q8N8U2	124359	CDYL2	Human
x0so0285	seq.10753.31	Disintegrin and metalloproteinase domain-containing protein 7	ADAM7	Q9H2U9	8756	ADAM7	Human
x0so0286	seq.10754.113	Prokineticin-2	Prokineticin-2	Q9HC23	60675	PROK2	Human
x0so0287	seq.10756.34	Urocortin-3	UCN3	Q969E3	114131	UCN3	Human
x0so0288	seq.10758.2	Keratocan	KERA	O60938	11081	KERA	Human
x0so0289	seq.10760.107	Glutamate receptor 4	GRIA4	P48058	2893	GRIA4	Human
x0so0290	seq.10761.5	Transmembrane emp24 domain-containing protein 2	TMED2	Q15363	10959	TMED2	Human
x0so0291	seq.10762.2	Killer cell lectin-like receptor subfamily G member 2:N-term	KLRG2:N-term	A4D1S0	346689	KLRG2	Human
x0so0292	seq.10767.52	G-protein coupled receptor 64	GPR64	Q8IZP9	10149	ADGRG2	Human
x0so0293	seq.10772.21	Chondroitin sulfate N-acetylgalactosaminyltransferase 2	CGAT2	Q8N6G5	55454	CSGALNACT2	Human
x0so0294	seq.10780.10	Ras-related protein Rab-3D	RAB3D	O95716	9545	RAB3D	Human
x0so0295	seq.10781.19	C-type lectin domain family 4 member G	CLC4G	Q6UXB4	339390	CLEC4G	Human
x0so0296	seq.10785.8	Leucine-rich repeat-containing protein 52	LRC52	Q8N7C0	440699	LRRC52	Human
x0so0298	seq.10798.4	CMRF35-like molecule 2	CLM2	Q496F6	342510	CD300E	Human
x0so0299	seq.10800.15	Serpin H1	Collagen-binding protein	P50454	871	SERPINH1	Human
x0so0300	seq.10801.11	Ephrin-A2	Ephrin-A2	O43921	1943	EFNA2	Human
x0so0301	seq.10803.22	Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	3303	HSPA1A	Human
x0so0302	seq.10809.14	Killer cell lectin-like receptor subfamily B member 1	KLRB1	Q12918	3820	KLRB1	Human
x0so0303	seq.10814.7	T-cell surface glycoprotein CD1a	CD1A	P06126	909	CD1A	Human
x0so0304	seq.10815.2	Intracellular hyaluronan-binding protein 4	HABP4	Q5JVS0	22927	HABP4	Human
x0so0305	seq.10816.150	Paired immunoglobulin-like type 2 receptor alpha isoform FDF03-M14	PILRA isoform FDF03-M14	Q9UKJ1	29992	PILRA	Human
x0so0306	seq.10817.26	TOMM20-like protein 1	TO20L	Q6UXN7	387990	TOMM20L	Human
x0so0307	seq.10818.36	Sphingomyelin phosphodiesterase	ASM	P17405	6609	SMPD1	Human
x0so0308	seq.10819.108	Fibulin-1	fibulin 1	P23142	2192	FBLN1	Human
x0so0310	seq.10825.12	V-set and immunoglobulin domain-containing protein 10	VSI10	Q8N0Z9	54621	VSIG10	Human
x0so0311	seq.10827.67	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3	LIGO3	P0C6S8	645191	LINGO3	Human
x0so0312	seq.10830.5	EF-hand calcium-binding domain-containing protein 14:N-term	K0494:N-term	O75071	9813	EFCAB14	Human
x0so0313	seq.10832.24	Beta-1,4-galactosyltransferase 6	B4GT6	Q9UBX8	9331	B4GALT6	Human
x0so0314	seq.10833.64	Hedgehog-interacting protein	HHIP	Q96QV1	64399	HHIP	Human
x0so0315	seq.10835.25	Alpha-1,4-N-acetylglucosaminyltransferase	A4GCT	Q9UNA3	51146	A4GNT	Human
x0so0317	seq.10842.7	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4	GCNT4	Q9P109	51301	GCNT4	Human
x0so0318	seq.10847.1	Sialic acid-binding Ig-like lectin 15	SIG15	Q6ZMC9	284266	SIGLEC15	Human
x0so0319	seq.10848.137	Butyrophilin-like protein 3	BTNL3	Q6UXE8	10917	BTNL3	Human
x0so0320	seq.10851.77	Interleukin-27 subunit beta	IL27B	Q14213	10148	EBI3	Human
x0so0321	seq.10852.114	Heterogeneous nuclear ribonucleoprotein D-like	HNRDL	O14979	9987	HNRNPDL	Human
x0so0322	seq.10854.15	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4	GCNT4	Q9P109	51301	GCNT4	Human
x0so0323	seq.10855.55	Plexin-B2	PLXB2	O15031	23654	PLXNB2	Human
x0so0324	seq.10866.60	Serine/threonine-protein phosphatase 4 regulatory subunit 3A	P4R3A	Q6IN85	55671	PPP4R3A	Human
x0so0325	seq.10870.32	Spastin:Microtubule interacting and trafficking domain	Spastin:MIT	Q9UBP0	6683	SPAST	Human
x0so0326	seq.10876.300	BRCA1-associated ATM activator 1	BRAT1	Q6PJG6	221927	BRAT1	Human
x0so0327	seq.10880.38	Protein FAM163B	F163B	P0C2L3	642968	FAM163B	Human
x0so0328	seq.10882.12	Desmocollin-1	Desmocollin-1	Q08554	1823	DSC1	Human
x0so0329	seq.10885.36	Bombesin receptor-activated protein C6orf89	CF089	Q6UWU4	221477	C6orf89	Human
x0so0331	seq.10889.2	Melanocortin-2 receptor accessory protein 2	MRAP2	Q96G30	112609	MRAP2	Human
x0so0332	seq.10890.135	Lactase-like protein	LCTL	Q6UWM7	197021	LCTL	Human
x0so0333	seq.10892.8	Oncostatin-M-specific receptor subunit beta	OSMR	Q99650	9180	OSMR	Human
