symbol	CHROM	start_grch37	end_grch37	label	unit	type	min	max	missing	description	long_description	AptName	SeqId	SeqIdVersion	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	Organism	Units	Type	Dilution	ColCheck	cv_qc	cv_qc_chris	Dratio	eLOD	EntrezGeneSymbol
11	AARSD1	17	41102543	41116515	x0so3321	NA	float	480.2	72541.5	-89	seq.21535.5	Alanyl-tRNA editing protein Aarsd1	seq.21535.5	21535-5	3	SL022505	Alanyl-tRNA editing protein Aarsd1	AASD1	Q9BTE6	100885850	Human	RFU	Protein	0.5	FLAG	0.108420325879039	0.152716552209051	0.461264096616472	2149.3411	NA
12	AASDHPPT	11	105946228	105969437	x0so2123	NA	float	108.7	74434.8	-89	seq.17320.19	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	seq.17320.19	17320-19	3	SL013281	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	ADPPT	Q9NRN7	60496	Human	RFU	Protein	20	PASS	0.0562077709233098	0.0629243203611466	0.128238000828521	240.4255	NA
13	ABCC6	16	16242785	16317379	x0so7072	NA	float	239.9	11451.1	-89	seq.8935.22	Multidrug resistance-associated protein 6	seq.8935.22	8935-22	3	SL013730	Multidrug resistance-associated protein 6	MRP6	O95255	368	Human	RFU	Protein	20	PASS	0.0485678525159713	0.0526038093168296	0.344650279894968	481.08705	NA
14	ABCD4	14	74752126	74769759	x0so4654	NA	float	147.1	298101.4	-89	seq.25886.11	ATP-binding cassette sub-family D member 4	seq.25886.11	25886-11	3	SL024256	ATP-binding cassette sub-family D member 4	ABCD4	O14678	5826	Human	RFU	Protein	20	PASS	0.0324497623480124	0.058895418148019	0.17930493331438	298.8689	NA
15	ABCF3	3	183903811	183911800	x0so4160	NA	float	53.5	30187.1	-89	seq.23700.42	ATP-binding cassette sub-family F member 3	seq.23700.42	23700-42	3	SL023306	ATP-binding cassette sub-family F member 3	ABCF3	Q9NUQ8	55324	Human	RFU	Protein	20	PASS	0.0364825354786826	0.0428668431620222	0.0826239212722161	124.43775	NA
16	ABHD10	3	111697857	111712210	x0so2151	NA	float	73.6	47603.3	-89	seq.17370.186	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	seq.17370.186	17370-186	3	SL009448	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	ABHDA	Q9NUJ1	55347	Human	RFU	Protein	20	PASS	0.0369257917918549	0.0475935175300652	0.0835369224580562	191.11145	NA
17	ABHD12	20	25275379	25371619	x0so6540	NA	float	149.1	115003.5	-89	seq.7825.7	Monoacylglycerol lipase ABHD12	seq.7825.7	7825-7	3	SL018266	Monoacylglycerol lipase ABHD12	ABD12	Q8N2K0	26090	Human	RFU	Protein	20	PASS	0.0650849056156136	0.0595546936588684	0.279439246775056	371.349	NA
18	ABHD14A	3	52005442	52015212	x0so5859	NA	float	148.1	33325.4	-89	seq.5715.4	Protein ABHD14A	seq.5715.4	5715-4	3	SL017100	Protein ABHD14A	ABHEA	Q9BUJ0	25864	Human	RFU	Protein	20	PASS	0.0588349375978064	0.0472374498166555	0.166489720852107	325.87855	NA
19	ABHD14B	3	52002526	52017425	x0so2717	NA	float	97.9	101097.3	-89	seq.19325.21	Protein ABHD14B	seq.19325.21	19325-21	3	SL008281	Protein ABHD14B	ABHEB	Q96IU4	84836	Human	RFU	Protein	20	PASS	0.0457344502664131	0.0611512631241101	0.14400347096282	203.2713	NA
20	ABHD4	14	23067146	23081265	x0so3443	NA	float	100	31756.9	-89	seq.21780.15	Protein ABHD4	seq.21780.15	21780-15	3	SL022497	Protein ABHD4	ABHD4	Q8TB40	63874	Human	RFU	Protein	20	PASS	0.04577514646245	0.0535559797208279	0.157837305024989	227.18315	NA
21	ABHD5	3	43731605	43775863	x0so4003	NA	float	31.6	60034.6	-89	seq.23393.56	1-acylglycerol-3-phosphate O-acyltransferase ABHD5	seq.23393.56	23393-56	3	SL023162	1-acylglycerol-3-phosphate O-acyltransferase ABHD5	ABHD5	Q8WTS1	51099	Human	RFU	Protein	20	PASS	0.0405672950224591	0.0467734996656516	0.0972860445328465	100.2628	NA
22	ABI3	17	47287589	47300587	x0so4055	NA	float	105	144936.4	-89	seq.23553.1	ABI gene family member 3	seq.23553.1	23553-1	3	SL015302	ABI gene family member 3	ABI3	Q9P2A4	51225	Human	RFU	Protein	20	PASS	0.0312153700563262	0.0304129794629088	0.0752947000780003	231.65055	NA
23	ABL1	9	133589333	133763062	x0so5034	NA	float	164.4	36480.2	-89	seq.3341.33	Tyrosine-protein kinase ABL1	seq.3341.33	3341-33	4	SL006892	Tyrosine-protein kinase ABL1	ABL1	P00519	25	Human	RFU	Protein	20	PASS	0.0522198694600145	0.0654525556567246	0.339425963807875	346.0776	NA
24	ABL2	1	179068462	179198819	x0so5035	NA	float	135.6	12956.5	-89	seq.3342.76	Abelson tyrosine-protein kinase 2	seq.3342.76	3342-76	4	SL010488	Abelson tyrosine-protein kinase 2	ABL2	P42684	27	Human	RFU	Protein	20	PASS	0.050485625662557	0.0445122921053982	0.149949228580117	282.99615	NA
25	ABL2	1	179068462	179198819	x0so5688	NA	float	243.5	36074.8	-89	seq.5261.13	Abelson tyrosine-protein kinase 2	seq.5261.13	5261-13	3	SL010488	Abelson tyrosine-protein kinase 2	ABL2	P42684	27	Human	RFU	Protein	20	PASS	0.100581451094663	0.12530258868686	0.490427498417431	612.2333	NA
26	ABLIM3	5	148521046	148640105	x0so1371	NA	float	47.1	64870.6	-89	seq.13578.98	Actin-binding LIM protein 3	seq.13578.98	13578-98	3	SL020134	Actin-binding LIM protein 3	ABLM3	O94929	22885	Human	RFU	Protein	20	PASS	0.041582857533829	0.0384255494598257	0.0771988599011166	91.7759	NA
27	ABO	9	136125788	136150617	x0so7264	NA	float	66.3	103815.5	-89	seq.9253.52	Histo-blood group ABO system transferase	seq.9253.52	9253-52	3	SL017264	Histo-blood group ABO system transferase	BGAT	P16442	28	Human	RFU	Protein	20	PASS	0.0563174717395696	0.0527706378905873	0.0288013804045893	117.9585	NA
28	ABR	17	906758	1132315	x0so3521	NA	float	175.3	158464.5	-89	seq.21958.4	Active breakpoint cluster region-related protein	seq.21958.4	21958-4	3	SL023246	Active breakpoint cluster region-related protein	ABR	Q12979	29	Human	RFU	Protein	20	PASS	0.0526482023041094	0.0554944607564574	0.141686233317937	388.99365	NA
29	ACAA1	3	38144620	38178733	x0so2273	NA	float	150.9	60912.4	-89	seq.17782.23	3-ketoacyl-CoA thiolase, peroxisomal	seq.17782.23	17782-23	3	SL020988	3-ketoacyl-CoA thiolase, peroxisomal	THIK	P09110	30	Human	RFU	Protein	20	PASS	0.0477716989394875	0.0614281692568149	0.143707184951751	389.81745	NA
30	ACAD8	11	134123389	134135749	x0so0569	NA	float	225.6	100270.5	-89	seq.11406.82	Isobutyryl-CoA dehydrogenase, mitochondrial	seq.11406.82	11406-82	3	SL019452	Isobutyryl-CoA dehydrogenase, mitochondrial	ACAD8	Q9UKU7	27034	Human	RFU	Protein	20	PASS	0.0333279923857837	0.0396210456252058	0.133195766571302	485.5228	NA
31	ACADL	2	211052663	211090215	x0so2321	NA	float	59.9	22795.7	-89	seq.17857.6	Long-chain specific acyl-CoA dehydrogenase, mitochondrial	seq.17857.6	17857-6	3	SL020990	Long-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADL	P28330	33	Human	RFU	Protein	20	PASS	0.025921766730568	0.0250311772318403	0.0985689414579785	121.53995	NA
32	ACADM	1	76190036	76253260	x0so2130	NA	float	54.9	11845.7	-89	seq.17333.20	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	seq.17333.20	17333-20	3	SL008026	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADM	P11310	34	Human	RFU	Protein	20	PASS	0.056335205463559	0.0902124882214606	0.132954225074474	123.4758	NA
33	ACADS	12	121163538	121177811	x0so2159	NA	float	97.2	15444.4	-89	seq.17393.13	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	seq.17393.13	17393-13	3	SL005672	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	SCAD	P16219	35	Human	RFU	Protein	20	FLAG	0.0929511347654616	0.134156319909407	0.586969132053664	366.6598	NA
34	ACADSB	10	124768495	124817827	x0so2164	NA	float	48	69426.4	-89	seq.17403.14	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	seq.17403.14	17403-14	3	SL006190	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	acyl-Coenzyme A dehydrogenase	P45954	36	Human	RFU	Protein	20	PASS	0.0488812483676691	0.0437559474045643	0.0630127661231212	122.62685	NA
35	ACADVL	17	7120444	7128592	x0so2681	NA	float	76.2	44125.8	-89	seq.19262.219	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	seq.19262.219	19262-219	3	SL008117	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADV	P49748	37	Human	RFU	Protein	20	PASS	0.0576225593382031	0.0681412270307365	0.0828385707455145	211.1799	NA
36	ACAN	15	89346674	89418585	x0so4995	NA	float	88.5	24785	-89	seq.3280.49	Aggrecan core protein	seq.3280.49	3280-49	2	SL004661	Aggrecan core protein	Aggrecan	P16112	176	Human	RFU	Protein	20	PASS	0.0407581226607996	0.0393354105761533	0.165013584452154	212.67665	NA
37	ACAP2	3	194995465	195163807	x0so0757	NA	float	173.1	6703.2	-89	seq.12343.14	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	seq.12343.14	12343-14	3	SL011226	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	CENB2	Q15057	23527	Human	RFU	Protein	20	PASS	0.0269373612746054	0.0308710673792911	0.192722969561381	379.31975	NA
38	ACAT1	11	107992243	108018503	x0so2638	NA	float	49.9	35446.2	-89	seq.19197.95	Acetyl-CoA acetyltransferase, mitochondrial	seq.19197.95	19197-95	3	SL016788	Acetyl-CoA acetyltransferase, mitochondrial	THIL	P24752	38	Human	RFU	Protein	20	PASS	0.069327544544157	0.0771352442878656	0.131317260464806	96.84655	NA
39	ACAT2	6	160181360	160200144	x0so2134	NA	float	22.7	56831.1	-89	seq.17341.89	Acetyl-CoA acetyltransferase, cytosolic	seq.17341.89	17341-89	3	SL010906	Acetyl-CoA acetyltransferase, cytosolic	THIC	Q9BWD1	39	Human	RFU	Protein	20	FLAG	0.109696842740482	0.143494019287631	0.245140484115933	56.60095	NA
40	ACBD4	17	43209967	43221548	x0so4353	NA	float	85.8	42362	-89	seq.24686.19	Acyl-CoA-binding domain-containing protein 4	seq.24686.19	24686-19	3	SL015085	Acyl-CoA-binding domain-containing protein 4	ACBD4	Q8NC06	79777	Human	RFU	Protein	20	PASS	0.0471528194065735	0.0707018111333918	0.33326250034872	223.94395	NA
41	ACBD6	1	180244515	180472089	x0so0076	NA	float	33.6	5532.2	-89	seq.10075.75	Acyl-CoA-binding domain-containing protein 6	seq.10075.75	10075-75	3	SL019254	Acyl-CoA-binding domain-containing protein 6	ACBD6	Q9BR61	84320	Human	RFU	Protein	20	PASS	0.0667260681603287	0.0629294519257489	0.121060930586365	70.4835500000001	NA
42	ACBD6	1	180244515	180472089	x0so2727	NA	float	58.2	1944993.9	-89	seq.19341.36	Acyl-CoA-binding domain-containing protein 6	seq.19341.36	19341-36	3	SL019254	Acyl-CoA-binding domain-containing protein 6	ACBD6	Q9BR61	84320	Human	RFU	Protein	20	FLAG	0.0797437669582837	0.0870709682784548	0.431313853812656	146.67895	NA
43	ACBD7	10	15119522	15130775	x0so1359	NA	float	142.8	164781.2	-89	seq.13563.259	Acyl-CoA-binding domain-containing protein 7	seq.13563.259	13563-259	3	SL020184	Acyl-CoA-binding domain-containing protein 7	ACBD7	Q8N6N7	414149	Human	RFU	Protein	20	PASS	0.023567594028551	0.0342473066656327	0.102509168772213	324.78505	NA
44	ACE	17	61554422	61599209	x0so0268	NA	float	19.6	11493.2	-89	seq.10714.7	Angiotensin-converting enzyme	seq.10714.7	10714-7	3	SL000269	Angiotensin-converting enzyme	ACE	P12821	1636	Human	RFU	Protein	0.5	PASS	0.0847502577912893	0.0936436005877708	0.32992229096218	60.15965	NA
45	ACE2	X	15579156	15620271	x0so4792	NA	float	52.4	16445.3	-89	seq.2805.6	Angiotensin-converting enzyme 2	seq.2805.6	2805-6	2	SL004415	Angiotensin-converting enzyme 2	ACE2	Q9BYF1	59272	Human	RFU	Protein	20	PASS	0.0349078957359965	0.034979911327351	0.154187732619158	108.75085	NA
46	ACHE	7	100487615	100494594	x0so0370	NA	float	33.6	15380.7	-89	seq.10980.11	Acetylcholinesterase	seq.10980.11	10980-11	3	SL007155	Acetylcholinesterase	ACES	P22303	43	Human	RFU	Protein	20	PASS	0.0475201965110197	0.0460899073926127	0.153483947903698	87.72915	NA
47	ACHE	7	100487615	100494594	x0so1886	NA	float	132.2	29456.9	-89	seq.15553.22	Acetylcholinesterase	seq.15553.22	15553-22	3	SL007155	Acetylcholinesterase	ACES	P22303	43	Human	RFU	Protein	20	PASS	0.031200066987748	0.0266271740176086	0.115026973265471	299.16775	NA
48	ACLY	17	40023161	40086795	x0so1001	NA	float	233	19401.4	-89	seq.12700.9	ATP-citrate synthase	seq.12700.9	12700-9	3	SL007279	ATP-citrate synthase	ACLY	P53396	47	Human	RFU	Protein	20	PASS	0.03735620060865	0.0372620978437137	0.252064455364107	476.0685	NA
49	ACO1	9	32384618	32454767	x0so2840	NA	float	78.1	125571.5	-89	seq.20054.28	Cytoplasmic aconitate hydratase	seq.20054.28	20054-28	3	SL008454	Cytoplasmic aconitate hydratase	Aconitase 1	P21399	48	Human	RFU	Protein	20	PASS	0.0512636462039047	0.0919510559828182	0.175198819011715	155.2627	NA
50	ACOT12	5	80625824	80689998	x0so4090	NA	float	104.3	64455.7	-89	seq.23601.43	Acyl-coenzyme A thioesterase 12	seq.23601.43	23601-43	3	SL023533	Acyl-coenzyme A thioesterase 12	ACO12	Q8WYK0	134526	Human	RFU	Protein	20	PASS	0.0395344566863618	0.0391317768155187	0.109054806287232	247.30915	NA
51	ACOT13	6	24667263	24705293	x0so2205	NA	float	44.4	68210.1	-89	seq.17675.17	Acyl-coenzyme A thioesterase 13	seq.17675.17	17675-17	3	SL019552	Acyl-coenzyme A thioesterase 13	ACO13	Q9NPJ3	55856	Human	RFU	Protein	20	PASS	0.0565949040293004	0.0677640793031089	0.0718410449398572	91.22915	NA
52	ACOT8	20	44470360	44486045	x0so2163	NA	float	120.6	75686	-89	seq.17400.71	Acyl-coenzyme A thioesterase 8	seq.17400.71	17400-71	3	SL019729	Acyl-coenzyme A thioesterase 8	ACOT8	O14734	10005	Human	RFU	Protein	20	PASS	0.0422019765122917	0.0398680751092655	0.0875209517839653	315.3948	NA
53	ACOX1	17	73937588	73975515	x0so3332	NA	float	50.2	108725.5	-89	seq.21552.9	Peroxisomal acyl-coenzyme A oxidase 1	seq.21552.9	21552-9	3	SL016458	Peroxisomal acyl-coenzyme A oxidase 1	ACOX1	Q15067	51	Human	RFU	Protein	20	PASS	0.0672441363722433	0.0718098904670492	0.0835686819369073	101.3302	NA
54	ACP1	2	264140	278283	x0so5256	NA	float	74.5	29870.7	-89	seq.3858.5	Low molecular weight phosphotyrosine protein phosphatase	seq.3858.5	3858-5	1	SL008063	Low molecular weight phosphotyrosine protein phosphatase	PPAC	P24666	52	Human	RFU	Protein	20	PASS	0.0752767216307279	0.0685816487889239	0.0966293701807169	190.52455	NA
55	ACP2	11	47260853	47270457	x0so7253	NA	float	16.7	112609.5	-89	seq.9237.54	Lysosomal acid phosphatase	seq.9237.54	9237-54	3	SL005390	Lysosomal acid phosphatase	Lysosomal acid phosphatase	P11117	53	Human	RFU	Protein	20	FLAG	0.228216254790781	0.144964207969456	0.180926360958711	44.28575	NA
56	ACP5	19	11685475	11689823	x0so4991	NA	float	65.3	11602.7	-89	seq.3232.28	Tartrate-resistant acid phosphatase type 5	seq.3232.28	3232-28	2	SL004118	Tartrate-resistant acid phosphatase type 5	TrATPase	P13686	54	Human	RFU	Protein	0.5	PASS	0.0390711286983864	0.0338935260707066	0.149699150262909	181.4692	NA
57	ACP6	1	147101453	147142618	x0so5883	NA	float	25.1	13011.8	-89	seq.5742.14	Lysophosphatidic acid phosphatase type 6	seq.5742.14	5742-14	3	SL012844	Lysophosphatidic acid phosphatase type 6	PPA6	Q9NPH0	51205	Human	RFU	Protein	20	FLAG	0.0876927152515008	0.0896239917808789	0.244950389485683	64.69225	NA
58	ACRV1	11	125541417	125551018	x0so0164	NA	float	31	108596.5	-89	seq.10507.166	Acrosomal protein SP-10	seq.10507.166	10507-166	3	SL009308	Acrosomal protein SP-10	sperm protein 10	P26436	56	Human	RFU	Protein	20	PASS	0.0388654979607935	0.0489285581573669	0.0937732567742382	129.15075	NA
59	ACRV1	11	125541417	125551018	x0so1747	NA	float	146.6	203249.3	-89	seq.15301.24	Acrosomal protein SP-10	seq.15301.24	15301-24	3	SL009308	Acrosomal protein SP-10	sperm protein 10	P26436	56	Human	RFU	Protein	20	PASS	0.060159925589147	0.0494291176683763	0.157186256886252	354.96975	NA
60	ACSF2	17	48503519	48552206	x0so2186	NA	float	162.8	13170.5	-89	seq.17466.72	Acyl-CoA synthetase family member 2, mitochondrial	seq.17466.72	17466-72	3	SL008274	Acyl-CoA synthetase family member 2, mitochondrial	ACSF2	Q96CM8	80221	Human	RFU	Protein	20	PASS	0.0323592443964737	0.0338115055617105	0.0896476899687668	332.1123	NA
61	ACSS2	20	33459949	33515769	x0so4498	NA	float	199.8	74308.8	-89	seq.25094.9	Acetyl-coenzyme A synthetase, cytoplasmic	seq.25094.9	25094-9	3	SL023136	Acetyl-coenzyme A synthetase, cytoplasmic	ACSA	Q9NR19	55902	Human	RFU	Protein	20	PASS	0.0359581148738077	0.0323712167764022	0.134279528593883	457.3815	NA
62	ACSS3	12	81331594	81650533	x0so4154	NA	float	335.7	50838.6	-89	seq.23692.19	Acyl-CoA synthetase short-chain family member 3, mitochondrial	seq.23692.19	23692-19	3	SL023168	Acyl-CoA synthetase short-chain family member 3, mitochondrial	ACSS3	Q9H6R3	79611	Human	RFU	Protein	20	FLAG	0.11580884783965	0.129334392221417	0.686176019209518	1382.0262	NA
63	ACTN1	14	69340860	69446157	x0so7529	NA	float	74.6	45662.2	-89	seq.9843.5	Alpha-actinin-1	seq.9843.5	9843-5	3	SL008029	Alpha-actinin-1	ACTN1	P12814	87	Human	RFU	Protein	0.5	PASS	0.0351674271098682	0.0423823091843763	0.0489937429206359	146.65735	NA
64	ACTN2	1	236849754	236927931	x0so7530	NA	float	49.6	135231.3	-89	seq.9844.138	Alpha-actinin-2	seq.9844.138	9844-138	3	SL008091	Alpha-actinin-2	ACTN2	P35609	88	Human	RFU	Protein	20	PASS	0.0639167691540127	0.0546849179438588	0.0734260835631546	101.1824	NA
65	ACTN4	19	39138289	39222223	x0so4470	NA	float	92.9	61513.2	-89	seq.25057.2	Alpha-actinin-4	seq.25057.2	25057-2	3	SL007965	Alpha-actinin-4	ACTN4	O43707	81	Human	RFU	Protein	20	FLAG	0.0827660348267359	0.118497986640044	0.392286568272215	315.67625	NA
66	ACVR1	2	158592958	158732374	x0so3386	NA	float	23.5	70781.4	-89	seq.21703.31	Activin RIA	seq.21703.31	21703-31	3	SL004127	Activin RIA	Activin RIA	Q04771	90	Human	RFU	Protein	20	FLAG	0.21333191190491	0.251941414532394	0.603008346710658	313.53705	NA
67	ACVR1B	12	52345451	52390862	x0so4793	NA	float	21.9	1506.5	-89	seq.2806.49	Activin receptor type-1B	seq.2806.49	2806-49	2	SL004128	Activin receptor type-1B	Activin RIB	P36896	91	Human	RFU	Protein	20	PASS	0.0407109298551753	0.0441191257719771	0.252365902286513	48.3325	NA
68	ACVR2A	2	148602086	148688393	x0so2644	NA	float	185.2	38129.1	-89	seq.19208.8	Activin receptor type-2A	seq.19208.8	19208-8	3	SL004129	Activin receptor type-2A	Activin RIIA	P27037	92	Human	RFU	Protein	20	PASS	0.0708438754290994	0.107930297123924	0.441641553204763	510.63445	NA
69	ACVR2B	3	38495342	38534633	x0so7363	NA	float	124.8	94267.9	-89	seq.9412.52	Activin receptor type-2B	seq.9412.52	9412-52	3	SL004130	Activin receptor type-2B	Activin RIIB	Q13705	93	Human	RFU	Protein	20	PASS	0.041340947930937	0.0364913750461979	0.16460736569496	263.54395	NA
70	ACVRL1	12	52300692	52317145	x0so1983	NA	float	49.5	77174	-89	seq.16318.12	Serine/threonine-protein kinase receptor R3	seq.16318.12	16318-12	3	SL004851	Serine/threonine-protein kinase receptor R3	ALK-1	P37023	94	Human	RFU	Protein	20	PASS	0.0340903846784761	0.0353456708014601	0.134385691482665	91.7694	NA
71	ACVRL1	12	52300692	52317145	x0so4866	NA	float	174.6	129878.1	-89	seq.2969.11	Serine/threonine-protein kinase receptor R3	seq.2969.11	2969-11	1	SL004851	Serine/threonine-protein kinase receptor R3	ALK-1	P37023	94	Human	RFU	Protein	20	PASS	0.062822756394768	0.0696735020937745	0.24911632524209	573.00815	NA
72	ACY1	3	52009066	52023213	x0so5036	NA	float	24.5	42555.7	-89	seq.3343.1	Aminoacylase-1	seq.3343.1	3343-1	4	SL005574	Aminoacylase-1	Aminoacylase-1	Q03154	95	Human	RFU	Protein	0.5	PASS	0.0398624469692695	0.0465651765510301	0.103025940781541	95.3759	NA
73	ACY3	11	67410026	67418130	x0so3444	NA	float	111.3	19934	-89	seq.21781.9	Aspartoacylase-2	seq.21781.9	21781-9	3	SL008741	Aspartoacylase-2	ACY3	Q96HD9	91703	Human	RFU	Protein	20	PASS	0.0838624683772957	0.0609061991957879	0.206307475045767	381.56515	NA
74	ACYP1	14	75519924	75536186	x0so2916	NA	float	168.4	150480.3	-89	seq.20370.6	Acylphosphatase-1	seq.20370.6	20370-6	3	SL009422	Acylphosphatase-1	ACYP1	P07311	97	Human	RFU	Protein	20	PASS	0.0458299838466089	0.0501735098860358	0.168992776269054	417.80215	NA
75	ACYP2	2	54197975	54532437	x0so1078	NA	float	49	33829.8	-89	seq.12812.25	Acylphosphatase-2	seq.12812.25	12812-25	3	SL009425	Acylphosphatase-2	ACYP2	P14621	98	Human	RFU	Protein	20	PASS	0.0632335701033023	0.0628762485540072	0.196078179382264	120.24425	NA
76	ADA	20	43248163	43280874	x0so2817	NA	float	438.8	26462.2	-89	seq.19751.21	Adenosine deaminase	seq.19751.21	19751-21	3	SL009196	Adenosine deaminase	ADA	P00813	100	Human	RFU	Protein	20	FLAG	0.124918297237696	0.185431719323581	0.713541161037307	3764.9348	NA
77	ADAM10	15	58887403	59042177	x0so6863	NA	float	117.1	231103.2	-89	seq.8405.108	Disintegrin and metalloproteinase domain-containing protein 10:Extracellular domain	seq.8405.108	8405-108	3	SL025785	Disintegrin and metalloproteinase domain-containing protein 10:Extracellular domain	ADAM 10:ECD	O14672	102	Human	RFU	Protein	20	FLAG	0.0565805471608569	0.0535762000564505	0.135657353498687	316.9774	NA
78	ADAM10	15	58887403	59042177	x0so6934	NA	float	183.3	19279.5	-89	seq.8654.13	Disintegrin and metalloproteinase domain-containing protein 10:Cytoplasmic domain	seq.8654.13	8654-13	3	SL025786	Disintegrin and metalloproteinase domain-containing protein 10:Cytoplasmic domain	ADAM 10:CD	O14672	102	Human	RFU	Protein	20	PASS	0.0402578807722636	0.0546587325056481	0.345749795190163	443.87385	NA
79	ADAM11	17	42836399	42859214	x0so6203	NA	float	39.4	165576.6	-89	seq.6586.19	Disintegrin and metalloproteinase domain-containing protein 11	seq.6586.19	6586-19	3	SL017503	Disintegrin and metalloproteinase domain-containing protein 11	ADA11	O75078	4185	Human	RFU	Protein	20	FLAG	0.082086549811793	0.0772336027546939	0.24963723419525	129.54635	NA
